TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008-07;D;02;;INDI_CIFR_NEGO;139.177717569;M
2008-07;D;03;;INDI_CIFR_NEGO;147.510840714;M
2008-07;D;04;;INDI_CIFR_NEGO;132.992484921;M
2008-07;D;05;;INDI_CIFR_NEGO;145.919446746;M
2008-07;D;06;;INDI_CIFR_NEGO;131.850522499;M
2008-07;D;07;;INDI_CIFR_NEGO;173.652146151;M
2008-07;D;08;;INDI_CIFR_NEGO;180.68916679;M
2008-08;D;01;;INDI_CIFR_NEGO;112.923368112;M
2008-08;D;02;;INDI_CIFR_NEGO;109.022634254;M
2008-08;D;03;;INDI_CIFR_NEGO;123.047603131;M
2008-08;D;04;;INDI_CIFR_NEGO;108.765594499;M
2008-08;D;05;;INDI_CIFR_NEGO;152.981350918;M
2008-08;D;06;;INDI_CIFR_NEGO;111.44193763;M
2008-08;D;07;;INDI_CIFR_NEGO;104.088332826;M
2008-08;D;08;;INDI_CIFR_NEGO;146.358078266;M
2008-09;D;01;;INDI_CIFR_NEGO;117.374213275;M
2008-09;D;02;;INDI_CIFR_NEGO;115.248283601;M
2008-09;D;03;;INDI_CIFR_NEGO;123.031075853;M
2008-09;D;04;;INDI_CIFR_NEGO;104.33526295;M
2008-09;D;05;;INDI_CIFR_NEGO;124.315084662;M
2008-09;D;06;;INDI_CIFR_NEGO;125.147540505;M
2008-09;D;07;;INDI_CIFR_NEGO;139.219018548;M
2008-09;D;08;;INDI_CIFR_NEGO;152.59696521;M
2008-10;D;01;;INDI_CIFR_NEGO;120.833148796;M
2008-10;D;02;;INDI_CIFR_NEGO;117.721305337;M
2008-10;D;03;;INDI_CIFR_NEGO;128.98643772;M
2008-10;D;04;;INDI_CIFR_NEGO;118.181865606;M
2008-10;D;05;;INDI_CIFR_NEGO;111.84663451;M
2008-10;D;06;;INDI_CIFR_NEGO;137.08479911;M
2008-10;D;07;;INDI_CIFR_NEGO;150.423929694;M
2008-10;D;08;;INDI_CIFR_NEGO;156.166726584;M
2008-11;D;01;;INDI_CIFR_NEGO;108.880417237;M
2008-11;D;02;;INDI_CIFR_NEGO;107.329703155;M
2008-11;D;03;;INDI_CIFR_NEGO;113.06464834;M
2008-11;D;04;;INDI_CIFR_NEGO;103.784385218;M
2008-11;D;05;;INDI_CIFR_NEGO;92.46752523;M
2008-11;D;06;;INDI_CIFR_NEGO;126.189150072;M
2008-11;D;07;;INDI_CIFR_NEGO;143.579961682;M
2008-11;D;08;;INDI_CIFR_NEGO;125.461721758;M
2008-12;D;01;;INDI_CIFR_NEGO;125.344617958;M
2008-12;D;02;;INDI_CIFR_NEGO;127.378668682;M
2008-12;D;03;;INDI_CIFR_NEGO;120.524230936;M
2008-12;D;04;;INDI_CIFR_NEGO;101.848059669;M
2008-12;D;05;;INDI_CIFR_NEGO;100.892946635;M
2008-12;D;06;;INDI_CIFR_NEGO;147.08590392;M
2008-12;D;07;;INDI_CIFR_NEGO;164.868307051;M
2008-12;D;08;;INDI_CIFR_NEGO;125.254204602;M
2009-01;D;01;;INDI_CIFR_NEGO;103.88947061;M
2009-01;D;02;;INDI_CIFR_NEGO;105.654203407;M
2009-01;D;03;;INDI_CIFR_NEGO;99.695221612;M
2009-01;D;04;;INDI_CIFR_NEGO;92.542593545;M
2009-01;D;05;;INDI_CIFR_NEGO;82.724977608;M
2009-01;D;06;;INDI_CIFR_NEGO;121.13714504;M
2009-01;D;07;;INDI_CIFR_NEGO;112.217104465;M
2009-01;D;08;;INDI_CIFR_NEGO;110.344708304;M
2009-02;D;01;;INDI_CIFR_NEGO;96.500968515;M
2009-02;D;02;;INDI_CIFR_NEGO;96.390306971;M
2009-02;D;03;;INDI_CIFR_NEGO;97.020598571;M
2009-02;D;04;;INDI_CIFR_NEGO;93.563813343;M
2009-02;D;05;;INDI_CIFR_NEGO;80.312368915;M
2009-02;D;06;;INDI_CIFR_NEGO;111.867790006;M
2009-02;D;07;;INDI_CIFR_NEGO;107.686484928;M
2009-02;D;08;;INDI_CIFR_NEGO;106.974703423;M
2009-03;D;01;;INDI_CIFR_NEGO;107.891467676;M
2009-03;D;02;;INDI_CIFR_NEGO;108.947408541;M
2009-03;D;03;;INDI_CIFR_NEGO;105.495721187;M
2009-03;D;04;;INDI_CIFR_NEGO;99.834283707;M
2009-03;D;05;;INDI_CIFR_NEGO;91.047594609;M
2009-03;D;06;;INDI_CIFR_NEGO;123.36205563;M
2009-03;D;07;;INDI_CIFR_NEGO;108.956739;M
2009-03;D;08;;INDI_CIFR_NEGO;122.326179331;M
2009-04;D;01;;INDI_CIFR_NEGO;108.924822771;M
2009-04;D;02;;INDI_CIFR_NEGO;109.046445371;M
2009-04;D;03;;INDI_CIFR_NEGO;108.889266477;M
2009-04;D;04;;INDI_CIFR_NEGO;102.077081783;M
2009-04;D;05;;INDI_CIFR_NEGO;102.720588785;M
2009-04;D;06;;INDI_CIFR_NEGO;118.288889343;M
2009-04;D;07;;INDI_CIFR_NEGO;114.127910637;M
2009-04;D;08;;INDI_CIFR_NEGO;122.339597106;M
2009-05;D;01;;INDI_CIFR_NEGO;104.694624664;M
2009-05;D;02;;INDI_CIFR_NEGO;102.8507781;M
2009-05;D;03;;INDI_CIFR_NEGO;109.608105735;M
2009-05;D;04;;INDI_CIFR_NEGO;103.097772591;M
2009-05;D;05;;INDI_CIFR_NEGO;102.762520393;M
2009-05;D;06;;INDI_CIFR_NEGO;115.375892208;M
2009-05;D;07;;INDI_CIFR_NEGO;117.97515897;M
2009-05;D;08;;INDI_CIFR_NEGO;124.197657174;M
2009-06;D;01;;INDI_CIFR_NEGO;109.119964082;M
