TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1999;;;;ANDALUCES;71707.56031;A
1999;;;;ANDALUCES;14195.2634699;A
1999;;;;ANDALUCES;21479.3800583;A
1999;;;;ANDALUCES;222355.520738;A
1999;;;;ANDALUCES;421.3793577;A
1999;;;;ANDALUCES;1829.3161129;A
1999;;;;ANDALUCES;3449.2728644;A
1999;;;;ANDALUCES;1408.4351732;A
1999;;;;ANDALUCES;2326.5387194;A
1999;;;;ANDALUCES;1730.1855462;A
1999;;;;ANDALUCES;1224.5148158;A
1999;;;;ANDALUCES;5941.4730002;A
1999;;;;ANDALUCES;18331.1155898;A
1999;;;;ANDALUCES;531.87984;A
1999;;;;ANDALUCES;3030.8827703;A
1999;;;;ANDALUCES;1129.5707234;A
1999;;;;ANDALUCES;1029.1599544;A
1999;;;;ANDALUCES;739.1447319;A
1999;;;;ANDALUCES;1182.6392232;A
1999;;;;ANDALUCES;1195.6300666;A
1999;;;;ANDALUCES;1601.3446172;A
1999;;;;ANDALUCES;10440.251927;A
1999;;;;ANDALUCES;10045.6376076;A
1999;;;;ANDALUCES;27180.9989615;A
1999;;;;ANDALUCES;65246.4638645;A
1999;;;;ANDALUCES;25416.5612163;A
1999;;;;ANDALUCES;12238.6831233;A
1999;;;;ANDALUCES;92340.3590691;A
1999;;;;ANDALUCES;23288.5329777;A
1999;;;;ANDALUCES;37345.4955927;A
1999;;;;ANDALUCES;293102.7324127;A
1999;;;;ANDALUCES;11253.8797589;A
1999;;;;ANDALUCES;2617.1282516;A
1999;;;;ANDALUCES;2849.060606;A
1999;;;;ANDALUCES;10875.8364776;A
1999;;;;ANDALUCES;541.0961443;A
1999;;;;ANDALUCES;6966.3747203;A
1999;;;;ANDALUCES;1787.8362316;A
1999;;;;ANDALUCES;2541.3505929;A
1999;;;;ANDALUCES;39432.5627832;A
1999;;;;ANDALUCES;470.0572686;A
1999;;;;ANDALUCES;1247.1669617;A
1999;;;;ANDALUCES;1328.086212;A
1999;;;;ANDALUCES;1498.6598007;A
1999;;;;ANDALUCES;223.4647201;A
1999;;;;ANDALUCES;7033.2137079;A
1999;;;;ANDALUCES;1075.2246194;A
1999;;;;ANDALUCES;966.0049381;A
1999;;;;ANDALUCES;13841.8782285;A
1999;;;;ANDALUCES;949.2214431;A
1999;;;;ANDALUCES;3878.4009431;A
1999;;;;ANDALUCES;7327.8203612;A
1999;;;;ANDALUCES;5922.8622029;A
1999;;;;ANDALUCES;2558.1928134;A
1999;;;;ANDALUCES;9752.5662084;A
1999;;;;ANDALUCES;8519.9855814;A
1999;;;;ANDALUCES;4189.4278188;A
1999;;;;ANDALUCES;43098.4773723;A
1999;;3529;;ANDALUCES;112.1559283;A
1999;;3529;;ANDALUCES;415.3857865;A
1999;;3529;;ANDALUCES;488.866696;A
1999;;3529;;ANDALUCES;445.2782906;A
1999;;3529;;ANDALUCES;139.7934898;A
1999;;3529;;ANDALUCES;1042.6998907;A
1999;;3529;;ANDALUCES;391.0377525;A
1999;;3529;;ANDALUCES;595.1414761;A
1999;;3529;;ANDALUCES;3630.3593105;A
1999;;;;ANDALUCES;1612.082804;A
1999;;;;ANDALUCES;4096.4329086;A
1999;;;;ANDALUCES;912.0880086;A
1999;;;;ANDALUCES;1803.8813428;A
1999;;;;ANDALUCES;357.7314912;A
1999;;;;ANDALUCES;663.9252593;A
1999;;;;ANDALUCES;4425.8883289;A
1999;;;;ANDALUCES;1483.3943208;A
1999;;;;ANDALUCES;15355.4244642;A
1999;;;;ANDALUCES;140735.5588643;A
1999;;;;ANDALUCES;131875.6482954;A
1999;;;;ANDALUCES;303019.3544011;A
