TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2008;41;1;DIVORCIOS;4876.788948975;A
2007;C01;00;DIVORCIOS;21609.099999161;A
2007;C01;1;DIVORCIOS;21602.099999161;A
2007;C01;23;DIVORCIOS;7.0;A
2007;C01;2;DIVORCIOS;5.0;A
2007;C01;3;DIVORCIOS;2.0;A
2007;04;00;DIVORCIOS;1642.139999901;A
2007;04;1;DIVORCIOS;1642.139999901;A
2007;11;00;DIVORCIOS;3287.229999146;A
2007;11;1;DIVORCIOS;3286.229999146;A
2007;11;23;DIVORCIOS;1.0;A
2007;11;2;DIVORCIOS;1.0;A
2007;14;00;DIVORCIOS;1853.999999925;A
2007;14;1;DIVORCIOS;1853.999999925;A
2007;18;00;DIVORCIOS;2389.41000052;A
2007;18;1;DIVORCIOS;2389.41000052;A
2007;21;00;DIVORCIOS;1393.309999774;A
2007;21;1;DIVORCIOS;1393.309999774;A
2007;23;00;DIVORCIOS;1422.190000204;A
2007;23;1;DIVORCIOS;1422.190000204;A
2007;29;00;DIVORCIOS;4555.859999734;A
2007;29;1;DIVORCIOS;4551.859999734;A
2007;29;23;DIVORCIOS;4.0;A
2007;29;2;DIVORCIOS;2.0;A
2007;29;3;DIVORCIOS;2.0;A
2007;41;00;DIVORCIOS;5064.959999957;A
2007;41;1;DIVORCIOS;5062.959999957;A
2007;41;23;DIVORCIOS;2.0;A
2007;41;2;DIVORCIOS;2.0;A
2006;C01;00;DIVORCIOS;21218.50087;A
2006;C01;1;DIVORCIOS;21218.50087;A
2006;04;00;DIVORCIOS;1595.879802;A
2006;04;1;DIVORCIOS;1595.879802;A
2006;11;00;DIVORCIOS;3145.260002;A
2006;11;1;DIVORCIOS;3145.260002;A
2006;14;00;DIVORCIOS;1834.890112;A
2006;14;1;DIVORCIOS;1834.890112;A
2006;18;00;DIVORCIOS;2080.80049;A
2006;18;1;DIVORCIOS;2080.80049;A
2006;21;00;DIVORCIOS;1332.84986;A
2006;21;1;DIVORCIOS;1332.84986;A
2006;23;00;DIVORCIOS;1309.440144;A
2006;23;1;DIVORCIOS;1309.440144;A
2006;29;00;DIVORCIOS;4712.309813;A
2006;29;1;DIVORCIOS;4712.309813;A
2006;41;00;DIVORCIOS;5207.070647;A
2006;41;1;DIVORCIOS;5207.070647;A
2005;C01;00;DIVORCIOS;10748.000406;A
2005;C01;1;DIVORCIOS;10748.000406;A
2005;04;00;DIVORCIOS;833.000224;A
2005;04;1;DIVORCIOS;833.000224;A
