TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;21;035039;030034;DIVORCIOS;29.10758;A
2020;21;035039;035039;DIVORCIOS;41.04986;A
2020;21;035039;040044;DIVORCIOS;6.98751;A
2020;21;035039;045049;DIVORCIOS;2.32917;A
2020;21;035039;050054;DIVORCIOS;6.11231;A
2020;21;040044;00;DIVORCIOS;151.38196;A
2020;21;040044;015024;DIVORCIOS;3.78314;A
2020;21;040044;025029;DIVORCIOS;2.32917;A
2020;21;040044;030034;DIVORCIOS;10.77065;A
2020;21;040044;035039;DIVORCIOS;61.71596;A
2020;21;040044;040044;DIVORCIOS;58.80802;A
2020;21;040044;045049;DIVORCIOS;11.64585;A
2020;21;040044;050054;DIVORCIOS;2.32917;A
2020;21;045049;00;DIVORCIOS;208.14315;A
2020;21;045049;030034;DIVORCIOS;3.78314;A
2020;21;045049;035039;DIVORCIOS;35.51632;A
2020;21;045049;040044;DIVORCIOS;61.71596;A
2020;21;045049;045049;DIVORCIOS;88.7908;A
2020;21;045049;050054;DIVORCIOS;18.33693;A
2020;21;050054;00;DIVORCIOS;145.84842;A
2020;21;050054;035039;DIVORCIOS;10.77065;A
2020;21;050054;040044;DIVORCIOS;9.31668;A
2020;21;050054;045049;DIVORCIOS;57.05762;A
2020;21;050054;050054;DIVORCIOS;64.04513;A
2020;21;050054;055059;DIVORCIOS;2.32917;A
2020;21;050054;060064;DIVORCIOS;2.32917;A
2020;21;055059;00;DIVORCIOS;88.19794;A
2020;21;055059;030034;DIVORCIOS;2.32917;A
2020;21;055059;040044;DIVORCIOS;10.77065;A
